Dyad,Cov,SectionStartTime,TalkID,Start,End,Duration,TalkType,S_Around_Overall_Time,S_Monitor_Overall_Time,S_Keyboard_Overall_Time,S_Face_Overall_Time,S_Around_Mean,S_Monitor_Mean,S_Keyboard_Mean,S_Face_Mean,S_NoFace_Mean,S_CompOnly_Mean,S_Around_Median,S_Monitor_Median,S_Keyboard_Median,S_Face_Median,S_NoFace_Median,S_CompOnly_Median,S_Around_PopularSD,S_Monitor_PopularSD,S_Keyboard_PopularSD,S_Face_PopularSD,S_NoFace_PopularSD,S_CompOnly_PopularSD,S_Around_Frequency,S_Monitor_Frequency,S_Keyboard_Frequency,S_Face_Frequency,S_NoFace_Frequency,S_CompOnly_Frequency,S_Around_Max,S_Monitor_Max,S_Keyboard_Max,S_Face_Max,S_NoFace_Max,S_CompOnly_Max,S_Around_Min,S_Monitor_Min,S_Keyboard_Min,S_Face_Min,S_NoFace_Min,S_CompOnly_Min,S_NoSpeak_Overall_Time,S_Typing_Overall_Time,S_Speaking_Overall_Time,S_SSS_Overall_Time,S_Hovering_Overall_Time,S_NoSpeak_Mean,S_Typing_Mean,S_Speaking_Mean,S_SSS_Mean,S_Hovering_Mean,S_Sound_Mean,S_NoSound_Mean,S_NoSpeak_Median,S_Typing_Median,S_Speaking_Median,S_SSS_Median,S_Hovering_Median,S_Sound_Median,S_NoSound_Median,S_NoSpeak_PopularSD,S_Typing_PopularSD,S_Speaking_PopularSD,S_SSS_PopularSD,S_Hovering_PopularSD,S_Sound_PopularSD,S_NoSound_PopularSD,S_NoSpeak_Frequency,S_Typing_Frequency,S_Speaking_Frequency,S_SSS_Frequency,S_Hovering_Frequency,S_Sound_Frequency,S_NoSound_Frequency,S_NoSpeak_Max,S_Typing_Max,S_Speaking_Max,S_SSS_Max,S_Hovering_Max,S_Sound_Max,S_NoSound_Max,S_NoSpeak_Min,S_Typing_Min,S_Speaking_Min,S_SSS_Min,S_Hovering_Min,S_Sound_Min,S_NoSound_Min
1,1,0,0,0,82,82,5,0.0,0.0,0.0,82.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,82.0,82.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,82.0,0.0,0.0,0.0,0.0,0.0,82.0,82.0,0.0,0.0,0.0,0.0,0.0,82.0
1,1,0,1,82,142,60,2,24.0,6.0,0.0,30.0,24.0,6.0,0.0,15.0,15.0,6.0,24.0,6.0,0.0,15.0,15.0,6.0,0.0,0.0,0.0,3.0,9.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,24.0,6.0,0.0,18.0,24.0,6.0,24.0,6.0,0.0,12.0,6.0,6.0,60.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0.0,0.0,0.0,0.0,0.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,60.0
1,1,0,2,142,166,24,3,0.0,7.0,0.0,17.0,0.0,7.0,0.0,17.0,7.0,7.0,0.0,7.0,0.0,17.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,7.0,0.0,17.0,7.0,7.0,0.0,7.0,0.0,17.0,7.0,7.0,24.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,24.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,24.0
1,1,0,3,166,214,48,1,0.0,0.0,0.0,48.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,26.0,0.0,22.0,0.0,0.0,26.0,0.0,22.0,0.0,0.0,22.0,26.0,26.0,0.0,22.0,0.0,0.0,22.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,26.0,0.0,22.0,0.0,0.0,22.0,26.0,26.0,0.0,22.0,0.0,0.0,22.0,26.0
1,1,0,4,214,235,21,5,0.0,0.0,0.0,21.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,16.0,0.0,5.0,0.0,0.0,16.0,0.0,5.0,0.0,0.0,5.0,16.0,16.0,0.0,5.0,0.0,0.0,5.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,16.0,0.0,5.0,0.0,0.0,5.0,16.0,16.0,0.0,5.0,0.0,0.0,5.0,16.0
1,1,0,5,235,405,170,2,5.0,22.0,0.0,143.0,5.0,11.0,0.0,35.75,9.0,11.0,5.0,11.0,0.0,14.0,5.0,11.0,0.0,6.0,0.0,43.636996917753173,5.6568542494923806,6.0,1.0,2.0,0.0,4.0,3.0,2.0,5.0,17.0,0.0,111.0,17.0,17.0,5.0,5.0,0.0,4.0,5.0,5.0,170.0,0.0,0.0,0.0,0.0,170.0,0.0,0.0,0.0,0.0,0.0,170.0,170.0,0.0,0.0,0.0,0.0,0.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,170.0,0.0,0.0,0.0,0.0,0.0,170.0,170.0,0.0,0.0,0.0,0.0,0.0,170.0
1,1,0,6,405,451,46,3,0.0,0.0,0.0,46.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,46.0,46.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,46.0,0.0,0.0,0.0,0.0,0.0,46.0,46.0,0.0,0.0,0.0,0.0,0.0,46.0
1,1,0,7,451,572,121,5,7.0,0.0,0.0,114.0,7.0,0.0,0.0,57.0,7.0,0.0,7.0,0.0,0.0,57.0,7.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,7.0,0.0,0.0,87.0,7.0,0.0,7.0,0.0,0.0,27.0,7.0,0.0,41.0,0.0,80.0,0.0,0.0,20.5,0.0,80.0,0.0,0.0,80.0,20.5,20.5,0.0,80.0,0.0,0.0,80.0,20.5,14.5,0.0,0.0,0.0,0.0,0.0,14.5,2.0,0.0,1.0,0.0,0.0,1.0,2.0,35.0,0.0,80.0,0.0,0.0,80.0,35.0,6.0,0.0,80.0,0.0,0.0,80.0,6.0
1,1,0,8,572,992,420,2,19.0,0.0,59.0,342.0,19.0,0.0,14.75,57.0,15.6,14.75,19.0,0.0,12.5,22.0,14.0,12.5,0.0,0.0,6.1796035471541373,66.515662315978886,5.7827329179203844,6.1796035471541373,1.0,0.0,4.0,6.0,5.0,4.0,19.0,0.0,25.0,195.0,25.0,25.0,19.0,0.0,9.0,9.0,9.0,9.0,420.0,0.0,0.0,0.0,0.0,420.0,0.0,0.0,0.0,0.0,0.0,420.0,420.0,0.0,0.0,0.0,0.0,0.0,420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,420.0,0.0,0.0,0.0,0.0,0.0,420.0,420.0,0.0,0.0,0.0,0.0,0.0,420.0
1,1,0,9,992,1111,119,3,4.0,0.0,0.0,115.0,4.0,0.0,0.0,57.5,4.0,0.0,4.0,0.0,0.0,57.5,4.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,4.0,0.0,0.0,61.0,4.0,0.0,4.0,0.0,0.0,54.0,4.0,0.0,119.0,0.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,0.0,0.0,119.0,119.0,0.0,0.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,119.0,0.0,0.0,0.0,0.0,0.0,119.0,119.0,0.0,0.0,0.0,0.0,0.0,119.0
